FileName,UsedByTicketArchive,UsedByMainSite,Category
.gitignore,FALSE,FALSE,Unreferenced / investigate
adele-madison-square-garden-2016_confetti.jpg,FALSE,FALSE,Supporting / ephemera
adele-madison-square-garden-2016_ticket-jacket.jpg,FALSE,FALSE,Supporting / ephemera
adele-radio-city-music-hall-2015_celebrity-list.jpg,FALSE,FALSE,Supporting / ephemera
Aerosmith__Frank Erwin Center_1997.jpg,FALSE,FALSE,Original / alternate ticket scan
aerosmith-frank-erwin-center-1997-share.jpg,FALSE,FALSE,Share image only
all-points-west-festival-liberty-state-park-2008.jpg,FALSE,FALSE,Unreferenced / investigate
anthony-photo.jpg,FALSE,FALSE,Unreferenced / investigate
anthony-photo.jpg.jpg,FALSE,FALSE,Unreferenced / investigate
Austin.jpg,FALSE,FALSE,Unreferenced / investigate
band-of-horses-david-letterman-2012_back.jpg,FALSE,FALSE,Supporting / ephemera
BKRL.jpg,FALSE,FALSE,Unreferenced / investigate
Blur_Smashmouth_Liberty Lunch_1997.jpg,FALSE,FALSE,Original / alternate ticket scan
blur-liberty-lunch-1997-share.jpg,FALSE,FALSE,Share image only
Collecting.jpg,FALSE,FALSE,Unreferenced / investigate
Cookies.jpg,FALSE,FALSE,Unreferenced / investigate
Counting Crows_Wallflowers_Frank Erwin Center_1997.jpg,FALSE,FALSE,Original / alternate ticket scan
Dad_Singing.jpg,FALSE,FALSE,Unreferenced / investigate
eels-terminal-five-2010_backstage_pass.jpg,FALSE,FALSE,Supporting / ephemera
index.html,FALSE,FALSE,Unreferenced / investigate
kanye-west-madison-square-garden-2008_afterparty-pass.jpg,FALSE,FALSE,Unreferenced / investigate
lucinda-williams-la zona rosa-2004_back-stage-pass.jpg,FALSE,FALSE,Supporting / ephemera
m83-razzmatazz-2012_backstage-pass.jpg,FALSE,FALSE,Supporting / ephemera
m83-razzmatazz-2012_backstage-porcelain-raft-lounge-sign.jpg,FALSE,FALSE,Supporting / ephemera
Me_Mom_Dad.jpg,FALSE,FALSE,Unreferenced / investigate
Me_Seanie.jpg,FALSE,FALSE,Unreferenced / investigate
Mexico_City.jpg,FALSE,FALSE,Unreferenced / investigate
Mickey_Me.jpg,FALSE,FALSE,Unreferenced / investigate
my-morning-jacket-david-letterman-2010_back.jpg,FALSE,FALSE,Supporting / ephemera
my-morning-jacket-david-terminal-five-2010_setlist.jpg,FALSE,FALSE,Supporting / ephemera
NY.jpg,FALSE,FALSE,Unreferenced / investigate
PS_OASIS.jpg,FALSE,FALSE,Unreferenced / investigate
PUBLISHING.md,FALSE,FALSE,Unreferenced / investigate
publish-site-from-spreadsheet.ps1,FALSE,FALSE,Unreferenced / investigate
rock-favicon-16.gif,FALSE,FALSE,Unreferenced / investigate
rock-favicon-32.gif,FALSE,FALSE,Unreferenced / investigate
shore-thang-auditorium-shores-2000_article.jpg,FALSE,FALSE,Supporting / ephemera
Snap_NY.jpg,FALSE,FALSE,Unreferenced / investigate
the-wallflowers-frank-erwin-center-1997-share.jpg,FALSE,FALSE,Share image only
Third Eye Blind_Austin Music Hall_1998.jpg,FALSE,FALSE,Original / alternate ticket scan
third-eye-blind-austin-music-hall-1998-share.jpg,FALSE,FALSE,Share image only
ticket-image-audit.csv,FALSE,FALSE,Unreferenced / investigate
tickets.js,FALSE,FALSE,Unreferenced / investigate
tickets.js.backup.20260318-192300.js,FALSE,FALSE,Unreferenced / investigate
Travel.jpg,FALSE,FALSE,Unreferenced / investigate
yeah-yeah-yeahs-webster-hall-2013_VIP-pass.jpg,FALSE,FALSE,Supporting / ephemera
adele-madison-square-garden-2016.jpg,TRUE,FALSE,Used by ticket archive
adele-radio-city-music-hall-2015.jpg,TRUE,FALSE,Used by ticket archive
aerosmith-frank-erwin-center-1997.jpg,TRUE,FALSE,Used by ticket archive
aimee-mann-hogg-auditorium-2005.jpg,TRUE,FALSE,Used by ticket archive
airport-2-rave-arks-ranch-2000.jpg,TRUE,FALSE,Used by ticket archive
animal-collective-antones-2007.jpg,TRUE,FALSE,Used by ticket archive
animal-collective-prospect-park-2011.jpg,TRUE,FALSE,Used by ticket archive
anohni-antony-and-the-johnsons-alice-tully-hall-2010.jpg,TRUE,FALSE,Used by ticket archive
arcade-fire-air-canada-center-2017.jpg,TRUE,FALSE,Used by ticket archive
arcade-fire-o2-arena-2010.jpg,TRUE,FALSE,Used by ticket archive
arcade-fire-stubbs-bbq-2005.jpg,TRUE,FALSE,Used by ticket archive
ariel-pink-webster-hall-2010.jpg,TRUE,FALSE,Used by ticket archive
band-of-horses-david-letterman-2012_front.jpg,TRUE,FALSE,Used by ticket archive
beach-house-bowery-ballroom-2008.jpg,TRUE,FALSE,Used by ticket archive
belle-and-sebastian-forest-hills-2018.jpg,TRUE,FALSE,Used by ticket archive
ben-harper-back-yard-2003.jpg,TRUE,FALSE,Used by ticket archive
beyonce-barclays-2013.jpg,TRUE,FALSE,Used by ticket archive
bikini-kill-terminal-five-2019.jpg,TRUE,FALSE,Used by ticket archive
blonde-redhead-emos-2004.jpg,TRUE,FALSE,Used by ticket archive
blur-liberty-lunch-1997.jpg,TRUE,FALSE,Used by ticket archive
blur-madison-square-garden-2015.jpg,TRUE,FALSE,Used by ticket archive
brian-jonestown-massacre-terminal-five-2008.jpg,TRUE,FALSE,Used by ticket archive
brian-jonestown-massacre-the-parish-2005.jpg,TRUE,FALSE,Used by ticket archive
britney-spears-madison-square-garden-2009.jpg,TRUE,FALSE,Used by ticket archive
caleb-hawley-mercury-lounge-2014.jpg,TRUE,FALSE,Used by ticket archive
caribou-bowery-ballroom-2008.jpg,TRUE,FALSE,Used by ticket archive
cass-mccombs-public-theater-2009.jpg,TRUE,FALSE,Used by ticket archive
cat-power-white-eagle-hall-2022.jpg,TRUE,FALSE,Used by ticket archive
clientele-emos-2007.jpg,TRUE,FALSE,Used by ticket archive
